"Dentsu World Services Brazil","Senior Python Developer [Django] - Banco de Talentos","Publicada em 25 de agosto de 2023","https://dwsbrazil.gupy.io/job/eyJqb2JJZCI6NTM0MDQ3MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Vivo Vita","Desenvolvedor Software / Python Pleno","Publicada em 23 de agosto de 2023","https://vivovita.gupy.io/job/eyJqb2JJZCI6NTMyMDEzNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Confi","Pessoa Desenvolvedora Python","Publicada em 18 de agosto de 2023","https://confi-a.gupy.io/job/eyJqb2JJZCI6NTI5OTIyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"AMcom","Pessoa Desenvolvedora Full Stack Python SÃªnior","Publicada em 14 de agosto de 2023","https://amcom.gupy.io/job/eyJqb2JJZCI6NTI2NTk3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Vertigo Tecnologia","Desenvolvedor(a) em Python (Plataforma de Dados)","Publicada em 14 de agosto de 2023","https://vertigo.gupy.io/job/eyJqb2JJZCI6NTI3NDY4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Join Tecnologia & Design","Dev Python/Django","Publicada em 11 de agosto de 2023","https://jointecnologia.gupy.io/job/eyJqb2JJZCI6NTI2NjU3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Looqbox","Analista de Dados Pleno (Python Developer - Remoto)","Publicada em 11 de agosto de 2023","https://looqbox.gupy.io/job/eyJqb2JJZCI6NTI2ODU2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Positivo Tecnologia","Desenvolvedor (a) Python Fullstack Pleno","Publicada em 08 de agosto de 2023","https://positivotecnologia.gupy.io/job/eyJqb2JJZCI6NTI1NjgwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Objective (Brazil)","[Squad] Desenvolvedor(a) SR | Python","Publicada em 08 de agosto de 2023","https://objective.gupy.io/job/eyJqb2JJZCI6NTI1Mjk2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Imagem Geosistemas","Desenvolvedor Pleno (Python) (SoluÃ§Ãµes)","Publicada em 07 de agosto de 2023","https://geosistemas.gupy.io/job/eyJqb2JJZCI6NTIyMzAwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Somos BHS ðŸ’™","Pessoa Desenvolvedora Python Pleno (Presencial/BH)","Publicada em 03 de agosto de 2023","https://bhs.gupy.io/job/eyJqb2JJZCI6NTIzODMwNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"J&T Express Brasil","Desenvolvedor de Sistema Python Jr.","Publicada em 01 de agosto de 2023","https://jtexpressbr.gupy.io/job/eyJqb2JJZCI6NTIxODA1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Hilab","Desenvolvedor(a) Python Pleno","Publicada em 26 de julho de 2023","https://hilab.gupy.io/job/eyJqb2JJZCI6NTIwMzE1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Grupo Nexxees","Desenvolvedor(a) - Python","Publicada em 24 de julho de 2023","https://gruponexxees.gupy.io/job/eyJqb2JJZCI6NTE5NjE3NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"idwall_co","Senior Python Developer","Publicada em 24 de julho de 2023","https://idwall.gupy.io/job/eyJqb2JJZCI6NTE5NDkyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"BT CrÃ©ditos","Pessoa Desenvolvedora SÃªnior (Python)","Publicada em 18 de julho de 2023","https://btcreditos.gupy.io/job/eyJqb2JJZCI6NTE3MTk1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Join Tecnologia & Design","Analista de Dados (Python)","Publicada em 12 de julho de 2023","https://jointecnologia.gupy.io/job/eyJqb2JJZCI6NTE0OTQyNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"OMNI SAÃšDE","Desenvolvedor(a) SÃªnior Backend - Python/Django","Publicada em 11 de julho de 2023","https://omnisaude.gupy.io/job/eyJqb2JJZCI6NTE0Mzg2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Tech Sicredi","Pessoa Desenvolvedora Python","Publicada em 06 de julho de 2023","https://techsicredi.gupy.io/job/eyJqb2JJZCI6NTEyOTUyNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Grupo BoticÃ¡rio","Pessoa Desenvolvedora Backend lll Python (Venda Direta) - Vaga Afirmativa para Talentos Diversos","Publicada em 05 de julho de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTEwMjA1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"DM","Desenvolvimento | Desenvolvedor Python SÃªnior","Publicada em 22 de junho de 2023","https://vocedm.gupy.io/job/eyJqb2JJZCI6NDk5MzU3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Toro Investimentos","Pessoa Desenvolvedora de Software Full Stack SÃªnior Python/Angular","Publicada em 16 de junho de 2023","https://toroinvestimentos.gupy.io/job/eyJqb2JJZCI6NDk1MDEwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Zallpy Digital","Python Developer SR","Publicada em 12 de junho de 2023","https://zallpy.gupy.io/job/eyJqb2JJZCI6NDk2NzY1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Mercafacil","Engenheiro(a) de Dados SÃªnior | Python (Banco de Talentos)","Publicada em 01 de junho de 2023","https://mercafacil.gupy.io/job/eyJqb2JJZCI6NDg5MTU3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Consult MÃ­dia SoluÃ§Ãµes","Analista Desenvolvedor Pleno (Java ou PHP ou Python)","Publicada em 30 de maio de 2023","https://consultmidia.gupy.io/job/eyJqb2JJZCI6NDg3MzA4Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Nomos - Melhores Investidores","Desenvolvedor Pleno (Python)","Publicada em 16 de maio de 2023","https://nomos.gupy.io/job/eyJqb2JJZCI6NDgxMTI1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Sky.One Solutions","DESENVOLVEDOR PYTHON SÃŠNIOR","Publicada em 03 de maio de 2023","https://skyone.gupy.io/job/eyJqb2JJZCI6NDc2MzgyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Compass.UOL","Python BackEnd Developer | Mid/Senior","Publicada em 10 de marÃ§o de 2023","https://compass.gupy.io/job/eyJqb2JJZCI6NDM5Mjk2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Confidencial","Desenvolvedor Python","Publicada em 12 de janeiro de 2023","https://rhmanaus.gupy.io/job/eyJqb2JJZCI6Mzg5NTUxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Vem Pra Vivo","Banco - Desenvolvedor (a) - JAVA / Node Js / Python/ Spring / SpringBoot","Publicada em 18 de novembro de 2022","https://vivo.gupy.io/job/eyJqb2JJZCI6MzQ5MjE0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Instituto AtlÃ¢ntico","[Banco de Talentos] Pessoa Desenvolvedora Python","Publicada em 06 de setembro de 2022","https://institutoatlantico.gupy.io/job/eyJqb2JJZCI6Mjg3OTE2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"invillia","Sr Backend Developer - Python - (100% Remoto)","Publicada em 10 de marÃ§o de 2022","https://invillia.gupy.io/job/eyJqb2JJZCI6MTU4NDg1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"invillia","Mid Backend Developer - Python - (100% Remoto)","Publicada em 10 de marÃ§o de 2022","https://invillia.gupy.io/job/eyJqb2JJZCI6MTU4NDgzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"